Symbol_1,environmentalScore,socialScore,governanceScore,ESGScore
III.L,,,,
ABE.MC,,,,
ABM,70.71,64.39,62.45,65.85
ABT,64.7,54.9,63.3,60.97
ADN.L,,,,
A2A.MI,,,,
BGA.JO,,,,
ACC.BO,,,,
ANA.MC,,,,
AC.PA,,,,
ACX.MC,,,,
ADP.PA,,,,
ADM.L,,,,
unknown,,,,
AIP.JO,,,,
ADEN.SW,,,,
AGN.AS,,,,
AGS.L,,,,
8267.T,,,,
ABBN.SW,,,,
MMM,67.97,69.87,71.11,69.65
ANF,24.92,29.52,35.82,30.09
ACE.MI,,,,
ADBE,71.21,70.39,63.32,68.31
AMD,59.24,58.23,61.09,59.52
GETI4.SA,,,,
AET,,,,
AFL,60.72,67.33,59.76,62.61
AXL.JO,,,,
ARI.JO,,,,
A,76.67,69.41,63.12,69.74
2802.T,,,,
AHL1V.HE,,,,
AC.TO,,,,
AF.PA,,,,
AI.PA,,,,
AIR.NZ,,,,
APD,68.21,74.16,75.12,72.5
ALU.PA,,,,
AKBNK.IS,,,,
AKAM,60.08,51.49,66.26,59.28
AKZA.AS,,,,
AA,65.32,72.23,78.27,71.94
AGN,61.95,55.88,63.57,60.47
ALN1V.HE,,,,
AOI,,,,
ATST.L,,,,
ALL,57.24,61.96,55.49,58.23
ALV.DE,,,,
AEL.JO,,,,
ALBK.L,,,,
AWC.AX,,,,
ALO.PA,,,,
AOX.DE,,,,
MO,59.54,55.07,68.87,61.16
1154Z,,,,
AMEAS.HE,,,,
AAL,71.27,64.55,70.82,68.88
AEE,60.26,75.4,79.02,71.56
AMC.AX,,,,
AMFW.L,,,,
AXP,62.56,64.54,59.64,62.25
AMGN,66.1,54.19,68.17,62.82
AML.L,,,,
AMP.AX,,,,
APC,74.9,65.31,72.08,70.76
AAL.L,,,,
AMS.JO,,,,
ANG.JO,,,,
APA.AX,,,,
STS.MI,,,,
ANTO.L,,,,
AON,58.68,71.3,62.83,64.27
ATR,64.2,59.76,58.54,60.83
ARCAD.AS,,,,
ACL.JO,,,,
ARX.TO,,,,
MT.AS,,,,
ARM.L,,,,
2502.T,,,,
5201.T,,,,
3407.T,,,,
4503.T,,,,
APN.JO,,,,
G.MI,,,,
ATK.L,,,,
AZN.L,,,,
2357.TW,,,,
ASX.AX,,,,
T,71.8,58.57,72.06,67.48
ATEA.OL,,,,
ATL.MI,,,,
ATCO-A.ST,,,,
ATO.PA,,,,
ATA.TO,,,,
2409.TW,,,,
AIA.NZ,,,,
ANZ.AX,,,,
AMS.SW,,,,
ADSK,75.57,62.35,73.4,70.44
ADP,65.7,64.76,70,66.82
3414924Q,,,,
AEG.JO,,,,
AVY,70.65,78.15,72.48,73.76
AV.L,,,,
AVP,61.69,70.36,65.04,65.7
CS.PA,,,,
SPR.DE,,,,
AXFO.ST,,,,
BBY.L,,,,
BA.L,,,,
BHGE,,,,
BES.LS,,,,
BMPS.MI,,,,
BBDC3.SA,,,,
BCP.LS,,,,
BBAS3.SA,,,,
GALI,,,,
BMO.TO,,,,
SAB.MC,,,,
BO.CO,,,,
POP.MC,,,,
SAN.MC,,,,
BAC,71.5,53.9,56.9,60.77
BCVN.SW,,,,
BK,72.64,72.4,70.68,71.91
BNS.TO,,,,
BKT.MC,,,,
BARC.L,,,,
BAS.DE,,,,
BAW.JO,,,,
BLKB.SW,,,,
BSKP.SW,,,,
BAX,79.3,65.19,75.75,73.41
BAYN.DE,,,,
BBVA.MC,,,,
BCE.TO,,,,
BEZ.L,,,,
BDX,74.37,61.41,62.08,65.95
BEKN.SW,,,,
PROX.BR,,,,
BEN.AX,,,,
BBY,84.43,75.9,71.71,77.35
BG/.L,,,,
BHP.AX,,,,
BB.PA,,,,
BIIB,69.32,63.84,74.51,69.22
BNP.PA,,,,
BMW.DE,,,,
BON.PA,,,,
BA,61.16,53.86,62.97,59.33
BOL.ST,,,,
1015Z.L,,,,
BP.L,,,,
EN.PA,,,,
BVS.L,,,,
BRKM3.SA,,,,
BMY,73.38,63.99,68.52,68.63
8179618Q.L,,,,
BATS.L,,,,
BLND.L,,,,
SKY.L,,,,
BRCM,58.94,59.88,67.51,62.11
BR,62.08,57.98,76.46,65.5
BAM-A.TO,,,,
BF-A,60.13,42.21,51.72,51.35
BT-A.L,,,,
BNZL.L,,,,
BRBY.L,,,,
BWP.AX,,,,
BVI.PA,,,,
BZU.MI,,,,
CA,,,,
GCC.L,,,,
CNE.L,,,,
CXGD.LS,,,,
CPB,78.49,78.52,82.85,79.95
CNR.TO,,,,
CP.TO,,,,
CTC.TO,,,,
CM.TO,,,,
7751.T,,,,
COF,54.09,63.71,54.74,57.51
CAP.PA,,,,
3091Z,,,,
CAH,63.29,51.82,63.34,59.48
CLLN.L,,,,
CCL,53.24,50.41,67.03,56.89
CA.PA,,,,
CBG,,,,
CO.PA,,,,
6952.T,,,,
CYT.TO,,,,
0293.HK,,,,
CGL.L,,,,
CCL-A.TO,,,,
CELG,57.91,66.23,65.54,63.23
CEMEXCPO.MX,,,,
CNP,59.01,64.01,72.66,65.23
ELET6.SA,,,,
CLSC4.SA,,,,
CNA.L,,,,
CEQ.OL,,,,
NVN.AX,,,,
028260.KS,,,,
CVX,40.02,49.45,61.18,50.22
3481.TW,,,,
2002.TW,,,,
CMIG3.SA,,,,
CESP3.SA,,,,
PCAR3.SA,,,,
2412.TW,,,,
CSCO,88.05,67.17,69.96,75.06
CIE.MC,,,,
CIEN,64.57,65.65,65.69,65.3
CI,64.67,55.33,70.6,63.53
C,66.45,73.53,62.61,67.53
CIT,69.01,68.93,62.17,66.7
CLN.SW,,,,
CLASB.ST,,,,
0002.HK,,,,
CLX,72.94,72.78,73.58,73.1
CU.PA,,,,
COB.L,,,,
CMS,68.82,78.44,82.61,76.62
CNP.PA,,,,
CL,69.02,67.47,66.59,67.69
CCL.AX,,,,
COLBUN.SN,,,,
KO,67.98,61.95,72.15,67.36
CCE,,,,
CCA.TO,,,,
CTSH,69.54,68.8,65.97,68.1
CBK.DE,,,,
COLOB.CO,,,,
COLT.L,,,,
CMA,66.71,74.78,66.92,69.47
CCRO3.SA,,,,
CBA.AX,,,,
2324.TW,,,,
CFR.SW,,,,
CPWR,66.29,62.62,59.57,62.83
SBSP3.SA,,,,
CAG,65.28,55.53,72.4,64.4
COP,50.44,72.31,64.57,62.44
CNX,77.73,76.37,66.5,73.53
ED,66.35,65.35,69.44,67.05
STZ,52.8,54.23,72.85,59.96
CON.DE,,,,
5021.T,,,,
CPFE3.SA,,,,
CWK.L,,,,
CSGN.SW,,,,
CVAL.MI,,,,
ACA.PA,,,,
CSL.AX,,,,
CRST.L,,,,
CRH.L,,,,
CABK.MC,,,,
CWN.AX,,,,
CRDA.L,,,,
CY,62.08,68.71,67.88,66.22
CSX,57.4,61.2,73.56,64.05
CMI,74.04,64.94,69.67,69.55
CVS,62.06,60.71,70.62,64.46
047040.KS,,,,
000210.KS,,,,
006800.KS,,,,
7912.T,,,,
4202.T,,,,
6367.T,,,,
4568.T,,,,
DAI.DE,,,,
DCG.L,,,,
1925.T,,,,
BN.PA,,,,
DANSKE.CO,,,,
DRI,45.74,49.04,50.66,48.48
8163.TW,,,,
DE,69.17,62.71,63.71,65.2
DCC.L,,,,
DLAR.L,,,,
DF,,,,
DLPH,69.9,70.05,72.76,70.9
DAL,54.85,56.94,72.67,61.49
DELL,89.06,85.14,66.08,80.09
191738Z,,,,
4324.T,,,,
DLN.L,,,,
DXS.AX,,,,
DBK.DE,,,,
DB11,,,,
DPB.DE,,,,
DPW.DE,,,,
DTE.DE,,,,
DVN,55.94,60.06,68.98,61.66
DGE.L,,,,
DIGI.KL,,,,
DTV,51.91,59.61,64.43,58.65
DSY.JO,,,,
DNO.OL,,,,
DST.JO,,,,
DOW,62.76,65.27,65.67,64.57
DOM.L,,,,
005830.KS,,,,
042670.KS,,,,
034020.KS,,,,
5714.T,,,,
DPS,,,,
DOW.AX,,,,
DTE,59.25,76.87,75.26,70.46
GEPA4.SA,,,,
DTEX3.SA,,,,
EOAN.DE,,,,
DD,53.73,54.24,69.15,59.04
ECL,59.63,62.16,69.42,63.74
KODK,69.7,65.56,71.27,68.84
ETN,65.76,67.05,71.97,68.26
EBAY,72.54,64.93,68.67,68.72
ENBR3.SA,,,,
EDP.LS,,,,
ECM.L,,,,
ELUXB.ST,,,,
EKTA-B.ST,,,,
EKO.OL,,,,
EDF.PA,,,,
LLY,74.26,61.87,67.88,68
EMBR3.SA,,,,
EMC,58.16,63.97,70.74,64.29
ELISA.HE,,,,
ELT.OL,,,,
2331.TW,,,,
ENG.MC,,,,
EMA.TO,,,,
EHL.AX,,,,
EMI.JO,,,,
EBK.DE,,,,
ECA.TO,,,,
ENEL.MI,,,,
ENB.TO,,,,
ELE.MC,,,,
ERF.TO,,,,
ENI.MI,,,,
ETR,61.59,71.63,74.62,69.28
ERIC-B.ST,,,,
EBS,60.46,64.45,60.55,61.82
0988125D,,,,
ESOIL.BO,,,,
EI.PA,,,,
EL,67.33,69.18,62.55,66.35
ERM.L,,,,
EVN,,,,
EXC,75.14,77.6,73.95,75.57
XOM,57.47,73.88,70.22,67.19
EXX.JO,,,,
FITB,50.18,66.41,58.14,58.24
FDX,69.03,61.56,55.95,62.18
FER.MC,,,,
FCAU,66,71.06,70.45,69.17
LDO.MI,,,,
FIA1S.HE,,,,
FTT.TO,,,,
ESNT.L,,,,
FGP.L,,,,
FCR.TO,,,,
FSLR,78.19,63.95,62.6,68.25
FSR.JO,,,,
FBU.NZ,,,,
FLS.CO,,,,
FLR,61.68,62.22,78.2,67.37
7947.T,,,,
BEN,61.98,56.6,62.72,60.43
FRA.DE,,,,
ORA.PA,,,,
FOE.OL,,,,
FRES.L,,,,
6504.T,,,,
5803.T,,,,
7270.T,,,,
FUXRZ.T,,,,
4901.T,,,,
6702.T,,,,
5801.T,,,,
VIFN.SW,,,,
GFS.L,,,,
GALP.LS,,,,
GPS,47.33,53.42,68.67,56.48
4449001Z.L,,,,
GAS.MC,,,,
GTO.AS,,,,
GEBN.SW,,,,
ENGI.PA,,,,
GFC.PA,,,,
GIS,72.4,65.1,75.18,70.89
GM,60.21,66.48,67.03,64.57
GE,65.39,66.92,74.66,68.99
GNW,61.15,68.79,64.5,64.81
GF.SW,,,,
WN.TO,,,,
GIVN.SW,,,,
GXI.DE,,,,
GETI-B.ST,,,,
GSK.L,,,,
GOG.L,,,,
GFI.JO,,,,
G.TO,,,,
GS,69.34,67.28,64.57,67.06
GOOG,59.99,59.97,61.63,60.53
GT,69.16,71.36,65.06,68.53
UNLS,,,,
GRI.L,,,,
GPOR.L,,,,
GNK.L,,,,
RIA.PA,,,,
GRT.JO,,,,
GRF.MC,,,,
GND.JO,,,,
GRF.JO,,,,
GET.PA,,,,
AIM.TO,,,,
006360.KS,,,,
HMB.ST,,,,
HAL,49.01,65.25,64.35,59.54
HLMA.L,,,,
HHFA.DE,,,,
HNA.OL,,,,
161390.KS,,,,
117930.KS,,,,
HNR1.DE,,,,
HAR.JO,,,,
HAV.PA,,,,
HIG,58.48,51.87,55.19,55.18
HAS,71.78,74.17,68.72,71.56
HAS.L,,,,
HCLT.BO,,,,
HDFCB.BO,,,,
HTO.AT,,,,
HEI.DE,,,,
HEIA.AS,,,,
JHG.L,,,,
HEN3.DE,,,,
HER.MI,,,,
HELN.SW,,,,
HES,61.94,61.18,75.87,66.33
HIK.L,,,,
6305.T,,,,
6501.T,,,,
4217.T,,,,
HZ.BO,,,,
HSX.L,,,,
HOT.DE,,,,
HOLM-B.ST,,,,
LHN.SW,,,,
HD,82.38,60.32,75.27,72.66
HCI.JO,,,,
HOME.L,,,,
011170.KS,,,,
0006.HK,,,,
7267.T,,,,
.0044HK,,,,
HSP,,,,
HST,59,61.63,71.35,63.99
HSBA.L,,,,
HUBN.SW,,,,
HLM.JO,,,,
HUM,69.86,62.89,66.57,66.44
000660.KS,,,,
000720.KS,,,,
IBE.MC,,,,
005380.KS,,,,
001450.KS,,,,
011200.KS,,,,
012330.KS,,,,
004020.KS,,,,
4062.T,,,,
ICAD.PA,,,,
WCN.TO,,,,
IMP.JO,,,,
IEM.L,,,,
NK.PA,,,,
7013.T,,,,
ILV.JO,,,,
IPL.JO,,,,
IMB.L,,,,
IDR.MC,,,,
ITX.MC,,,,
INGA.AS,,,,
IAG.TO,,,,
INH.DE,,,,
024110.KS,,,,
INDUA.ST,,,,
IFN.AX,,,,
INFO.BO,,,,
IDFC.BO,,,,
IOF.AX,,,,
IR,69.77,67.58,66.86,68.07
IMN.TO,,,,
1605.T,,,,
ICP.L,,,,
IBM,59.53,66.55,60.94,62.34
INTC,78.35,80.7,78.89,79.31
IFC.TO,,,,
IAG.AX,,,,
IVZ,46.5,56.56,64.11,55.72
IFF,66.59,66.84,68.14,67.19
IP,62.63,64.84,71.74,66.4
ISP.MI,,,,
INTU,64.27,59.5,57.07,60.28
INVEA.ST,,,,
IVC.AX,,,,
IPS.PA,,,,
ISAGEN,,,,
ITE.L,,,,
ITC.BO,,,,
ISS.CO,,,,
IT.MI,,,,
ITSA4.SA,,,,
ITUB3.SA,,,,
JBL,33.1,31.26,50.19,38.18
JBSS3.SA,,,,
VIAV,24.9,12.44,65.39,34.24
JMT.LS,,,,
JM.ST,,,,
JMAT.L,,,,
JNJ,83.02,66.57,70.87,73.49
JLL,56.62,70.75,76.25,67.87
JSE.JO,,,,
JPM,63.7,72.87,65.46,67.34
JNPR,68.22,63.18,66.94,66.12
4452.T,,,,
1812.T,,,,
105560.KS,,,,
9107.T,,,,
7012.T,,,,
9433.T,,,,
002380.KS,,,,
K,70.66,66.71,75.37,70.91
KEMIRA.HE,,,,
0273412D.TO,,,,
KIE.L,,,,
KESAV.HE,,,,
KEY,54.78,63.39,61.27,59.81
2503.T,,,,
KIM,58.81,56.68,61.3,58.93
KMB,71.14,73.79,73.53,72.82
KGF.L,,,,
K.TO,,,,
9041.T,,,,
5406.T,,,,
KPG.NZ,,,,
KLBN4.SA,,,,
LI.PA,,,,
1012Z.OL,,,,
KSS,52.8,66.84,66.83,62.16
7984.T,,,,
6301.T,,,,
KNEBV.HE,,,,
KOG.OL,,,,
4902.T,,,,
KBC.DE,,,,
KRFT,,,,
3405.T,,,,
KRN.DE,,,,
030200.KS,,,,
033780.KS,,,,
KNIN.SW,,,,
6326.T,,,,
KIO.JO,,,,
OR.PA,,,,
LG.PA,,,,
LAND.L,,,,
LXS.DE,,,,
LT.BO,,,,
LAT1V.HE,,,,
LVS,68.45,61.55,65.3,65.1
NOT,,,,
LR.PA,,,,
LM,60.97,66.26,70.42,65.88
CIM.AX,,,,
LEM1S.HE,,,,
LGEN.L,,,,
LSG.OL,,,,
LBH.JO,,,,
LEVI,54.74,58.87,59.91,57.84
LXK,77.5,65.75,58.34,67.2
051910.KS,,,,
066570.KS,,,,
051900.KS,,,,
LIGT3.SA,,,,
1255459D,,,,
LB,68.21,72.83,70.02,70.35
6955017Z.L,,,,
0823.HK,,,,
4912.T,,,,
LLOY.L,,,,
2301.TW,,,,
LREN3.SA,,,,
LMT,67.82,66.7,68.78,67.77
LSE.L,,,,
LMI.L,,,,
LOW,63.9,67.48,74.24,68.54
LSI,73.57,75.87,73.01,74.15
LUN.CO,,,,
LUPE.ST,,,,
MC.PA,,,,
MM.BO,,,,
MOL.BD,,,,
MAY.KL,,,,
MAN.DE,,,,
MKS.L,,,,
MAR,60.78,60.37,69.62,63.59
MFC.TO,,,,
MAP.MC,,,,
MRFG3.SA,,,,
MHG.OL,,,,
4614Z,,,,
MMC,56.58,56.79,62.07,58.48
MSLH.L,,,,
MRVL,66.1,63.67,59.23,63
MAS,60.01,55.76,64.64,60.14
MSM.JO,,,,
7261.T,,,,
MAT,67.44,71.76,65.67,68.29
MCB.L,,,,
SPGI,74.54,75.44,77.6,75.86
MWV,,,,
MEDAA.ST,,,,
MDC.JO,,,,
MB.MI,,,,
MDT,79.35,68.31,61.25,69.64
MRK.DE,,,,
MRK,75.78,72.32,72.93,73.67
CEC.DE,,,,
MTS.AX,,,,
MMI.JO,,,,
METSO.HE,,,,
MSFT,71.75,58.7,60.1,63.52
MLC.L,,,,
MIC.ST,,,,
037620.KS,,,,
MGR.AX,,,,
7011.T,,,,
MTO.L,,,,
5711.T,,,,
4188.T,,,,
6503.T,,,,
4183.T,,,,
8306.T,,,,
8411.T,,,,
9104.T,,,,
MON,59.03,76.43,70.19,68.55
MOL,,,,
TAP,65.34,70.47,75.7,70.5
MTGA.ST,,,,
MN.MI,,,,
0133220D,,,,
MND.AX,,,,
MNDI.L,,,,
MRW.L,,,,
MOS,63.5,69.91,82.72,72.04
MGAM.L,,,,
MGNS.L,,,,
MS,62.17,73.05,57.8,64.34
MTN.JO,,,,
0066.HK,,,,
MGPI,74.29,66.58,72.13,71
6981.T,,,,
MUV2.DE,,,,
MUR.JO,,,,
9044.T,,,,
NPK.JO,,,,
NDAQ,69.12,63.92,59.5,64.18
ETE.AT,,,,
8367.T,,,,
NAB.AX,,,,
